Year,Production_MMT,Consumption_MMT,Imports_MMT,Price_INR,Crude_Price_USD,Inflation_Rate,Subsidy_Crore,Beneficiaries_Million,Import_Dependency_%,Consumption_Growth_%,Price_to_Crude_Ratio,Subsidy_per_MMT
2010,9.61,13.52,4.48,350,77.45,12.11,16071,105.7,33.13609467,0,4.519044545,1188.683432
2011,9.55,14.86,5.31,395,111.89,8.87,21772,115.2,35.73351279,9.911242604,3.530252927,1465.141319
2012,9.82,15.36,6.04,410,107.97,9.3,29997,126.1,39.32291667,3.36473755,3.797351116,1952.929688
2013,10.12,16.12,6.61,450,105.52,10.92,39558,138.9,41.00496278,4.947916667,4.26459439,2453.970223
2014,9.89,17.48,8.27,580,84.16,6.37,46458,145.2,47.31121281,8.436724566,6.891634981,2657.78032
2015,10.61,19.11,8.94,610,46.17,4.91,36580,148.6,46.78178964,9.324942792,13.21204245,1914.181057
2016,11.45,21.04,10.95,540,47.56,4.5,16056,166.3,52.04372624,10.09942439,11.35407906,763.1178707
2017,12.42,23.08,11.38,660,56.43,3.6,13000,198.8,49.3067591,9.69581749,11.69590643,563.2582322
2018,12.81,24.47,12.63,720,69.88,3.41,20880,224.3,51.6142215,6.022530329,10.30337722,853.2897425
2019,12.85,26.13,14.84,690,60.47,4.76,31444,265.4,56.79295829,6.783816919,11.41061683,1203.367777
2020,12.11,27.2,16.29,715,44.82,6.2,34086,278.7,59.88970588,4.094910065,15.95269969,1253.161765
2021,12.28,28.15,17.15,830,70.46,5.51,24172,289.5,60.92362345,3.492647059,11.77973318,858.6856128
2022,12.85,28.96,17.61,1000,102.2,6.7,1811,305.3,60.80801105,2.877442274,9.784735812,62.53453039
2023,12.94,29.78,18.25,1050,82.6,5.4,11500,314,61.28274009,2.831491713,12.71186441,386.1652116
2024,13.2,31.1,19.3,803,81.5,4.6,12240,324.2,62.05787781,4.432505037,9.852760736,393.5691318
2025,13.85,32.8,20.45,853,65.2,1.7,15121,329.4,62.34756098,5.466237942,13.08282209,461.0060976
2026,14.25,34.15,21.5,913,94.5,3.2,11085,332.5,62.95754026,4.115853659,9.661375661,324.5973646
